iter	Logloss
0	0.634109478
1	0.5899253541
2	0.5528134349
3	0.524968103
4	0.4841222423
5	0.4624071264
6	0.4499649628
7	0.4361232687
8	0.4143078658
9	0.3991664106
10	0.3923839563
11	0.3756742009
12	0.3692338465
13	0.3653005132
14	0.3535868729
15	0.3421529977
16	0.3311293152
17	0.3275601983
18	0.3248112042
19	0.3224253467
20	0.3196746744
21	0.3181361856
22	0.315393802
23	0.3137996233
24	0.3122287675
25	0.3101348171
26	0.3093953831
27	0.3084654859
28	0.3074571385
29	0.3005004669
30	0.2999606753
31	0.2995076457
32	0.2990336889
33	0.2977687326
34	0.2970357962
35	0.2961797394
36	0.2950204276
37	0.290910323
38	0.2902310499
39	0.2894459434
40	0.2888249904
41	0.2881139052
42	0.2875007652
43	0.2872518084
44	0.2867846164
45	0.2862226416
46	0.2858164496
47	0.2856751208
48	0.2828473375
49	0.282783472
50	0.2802022791
51	0.279778426
52	0.2792076856
53	0.2786948271
54	0.2785356459
55	0.2783019164
56	0.2778715285
57	0.2775413627
58	0.2771894109
59	0.2749393195
60	0.2745331669
61	0.2743300431
62	0.274174719
63	0.2739256489
64	0.2738250717
65	0.2737018233
66	0.2733681377
67	0.2731635971
68	0.2729982334
69	0.2728621221
70	0.2727887461
71	0.2726960871
72	0.2723458409
73	0.2721364563
74	0.2720037109
75	0.2717661435
76	0.2716340847
77	0.2715100605
78	0.2713479064
79	0.2712338212
80	0.2708347936
81	0.2704840592
82	0.2703815838
83	0.2700633089
84	0.2699823809
85	0.2684017208
86	0.2682244991
87	0.2680591886
88	0.2680190502
89	0.2679327287
90	0.2677540284
91	0.267331214
92	0.2671802431
93	0.2669634869
94	0.2667877978
95	0.2663011756
96	0.2661729467
97	0.2660970579
98	0.2655798069
99	0.2654649891
100	0.265364349
101	0.2652738947
102	0.2651627961
