iter	Passed	Remaining
0	3	3193
1	8	3195
2	11	3015
3	15	2996
4	18	2994
5	22	2944
6	25	2914
7	29	2911
8	32	2887
9	36	2895
10	40	2922
11	44	2909
12	48	2908
13	51	2894
14	55	2888
15	58	2883
16	62	2878
17	66	2883
18	70	2878
19	74	2897
20	78	2902
21	81	2887
22	85	2880
23	88	2867
24	92	2861
25	95	2850
26	99	2842
27	102	2833
28	106	2828
29	109	2819
30	113	2811
31	116	2805
32	120	2811
33	124	2812
34	128	2806
35	131	2797
36	135	2795
37	139	2795
38	142	2788
39	146	2784
40	150	2780
41	154	2787
42	158	2782
43	161	2777
44	165	2775
45	168	2767
46	172	2760
47	176	2757
48	179	2751
49	183	2748
50	187	2752
51	191	2749
52	194	2745
53	198	2744
54	202	2743
55	205	2735
56	209	2729
57	213	2724
58	216	2720
59	220	2716
60	223	2711
61	227	2706
62	231	2702
63	234	2702
64	238	2699
65	242	2692
66	245	2687
67	249	2683
68	252	2678
69	256	2672
70	259	2668
71	263	2664
72	267	2663
73	271	2660
74	274	2653
75	277	2647
76	281	2643
77	284	2637
78	288	2632
79	291	2626
80	295	2619
81	298	2613
82	302	2614
83	306	2611
84	309	2606
85	313	2603
86	317	2599
87	320	2595
88	324	2590
89	327	2585
90	331	2581
91	334	2577
92	338	2573
93	342	2569
94	345	2565
95	349	2563
96	353	2561
97	356	2557
98	360	2551
99	364	2549
100	367	2545
101	371	2541
102	374	2537
